country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,migration,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1950,3.561,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1951,3.143,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1952,2.721,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1953,2.316,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1954,1.945,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1955,1.626,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1956,1.374,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1957,1.205,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1958,1.12,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1959,1.056,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1960,1.003,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1961,1.419,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1962,1.399,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1963,1.435,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1964,1.49,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1965,1.542,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1966,1.587,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1967,1.659,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1968,1.731,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1969,1.724,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1970,1.61,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1971,1.489,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1972,1.488,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1973,1.568,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1974,1.716,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1975,-0.207,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1976,-0.392,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1977,-0.55,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1978,-0.54,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1979,-0.371,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1980,-0.124,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1981,0.364,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1982,0.668,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1983,0.99,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1984,1.033,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1985,1.056,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1986,1.057,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1987,1.037,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1988,0.955,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1989,0.636,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1990,0.184,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1991,-0.259,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1992,-0.393,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1993,-0.481,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1994,-0.543,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1995,-0.565,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1996,-0.576,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1997,-0.575,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1998,-0.561,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",1999,-0.551,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2000,-0.614,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2001,-0.608,Total,,Number,,,,Total
